"literal","code","standard","contributor","broader_code","broader_term","uri","broader_uri"
"archeologen","300025486","archeologen","AAT Getty NL","300171580","sociale wetenschappers","http://vocab.getty.edu/aat/300025486","http://vocab.getty.edu/aat/300171580"
"architectuurhistorici","300025540","architectuurhistorici","AAT Getty NL","300168332","<personen in beroepen met betrekking tot de kunsten>","http://vocab.getty.edu/aat/300025540","http://vocab.getty.edu/aat/300168332"
"bouwvakkers","300025001","bouwvakkers","AAT Getty NL","300168334","<personen in de bouwtechniek, bouwhandel en planning>","http://vocab.getty.edu/aat/300025001","http://vocab.getty.edu/aat/300168334"
"liturgiologen","300237064","liturgiologen","AAT Getty NL","300168335","personen in beroepen met betrekking tot religie","http://vocab.getty.edu/aat/300237064","http://vocab.getty.edu/aat/300168335"
"classicisten","300025517","classicisten","AAT Getty NL","300168378","<personen in beroepen met betrekking tot geschiedenis>","http://vocab.getty.edu/aat/300025517","http://vocab.getty.edu/aat/300168378"
"raadslieden","300025518","raadslieden","AAT Getty NL","300168393","<personen in beroepen met betrekking tot sociale wetenschappen>","http://vocab.getty.edu/aat/300025518","http://vocab.getty.edu/aat/300168393"
"kaarsdragers","300411990","kaarsdragers","AAT Getty NL","300168457","personen in de religie","http://vocab.getty.edu/aat/300411990","http://vocab.getty.edu/aat/300168457"
"percussionisten","300235068","percussionisten","AAT Getty NL","300162131","instrumentalisten","http://vocab.getty.edu/aat/300235068","http://vocab.getty.edu/aat/300162131"
"secretarissen","300137147","secretarissen","AAT Getty NL","300137140","administrateurs","http://vocab.getty.edu/aat/300137147","http://vocab.getty.edu/aat/300137140"
"bloemkwekers","300251497","bloemkwekers","AAT Getty NL","300112031","hoveniers","http://vocab.getty.edu/aat/300251497","http://vocab.getty.edu/aat/300112031"
"radio- en tv-omroepers","300025502","radio- en TV-omroepers","AAT Getty NL","300103043","personen in communicatieberoepen","http://vocab.getty.edu/aat/300025502","http://vocab.getty.edu/aat/300103043"
