"literal","code","standard","contributor","broader_uri","broader_term","uri"
"stencillers","300025155","stencillers","AAT Getty","http://vocab.getty.edu/aat/300025143","<painters by technique, implement, or material employed>","http://vocab.getty.edu/aat/300025155"
"jewelry designers (designers)","300418043","jewelry designers (designers)","AAT Getty","http://vocab.getty.edu/aat/300025190","designers","http://vocab.getty.edu/aat/300418043"
"clients","300025833","clients","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300025833"
"royal architects","300420013","royal architects","AAT Getty","http://vocab.getty.edu/aat/300024987","architects","http://vocab.getty.edu/aat/300420013"
"drillers","300025017","drillers","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025017"
"puppeteers","300237377","puppeteers","AAT Getty","http://vocab.getty.edu/aat/300068931","performing artists","http://vocab.getty.edu/aat/300237377"
"sharpshooters","300386095","sharpshooters","AAT Getty","http://vocab.getty.edu/aat/300185678","soldiers","http://vocab.getty.edu/aat/300386095"
"hairdressers (people)","300386338","hairdressers (people)","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300386338"
"lectors (ecclesiastic)","300411987","lectors (ecclesiastic)","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300411987"
"chandlers","300386341","chandlers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300386341"
"psychoanalysts","300025812","psychoanalysts","AAT Getty","http://vocab.getty.edu/aat/300155832","<people in health and medicine>","http://vocab.getty.edu/aat/300025812"
"vase painters","300263263","vase painters","AAT Getty","http://vocab.getty.edu/aat/300260891","<painters by location or context>","http://vocab.getty.edu/aat/300263263"
"book artists (artists)","300386346","book artists (artists)","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300386346"
"original artists","300417530","original artists","AAT Getty","http://vocab.getty.edu/aat/300386778","<artists by status or location>","http://vocab.getty.edu/aat/300417530"
"decorators","300435238","decorators","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300435238"
"sylvans","300379114","sylvans","AAT Getty","http://vocab.getty.edu/aat/300379007","spirits (beings)","http://vocab.getty.edu/aat/300379114"
"materials scientists","300251959","materials scientists","AAT Getty","http://vocab.getty.edu/aat/300025788","scientists","http://vocab.getty.edu/aat/300251959"
"maharajas","300435360","maharajas","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300435360"
"novelists","300179382","novelists","AAT Getty","http://vocab.getty.edu/aat/300025492","authors","http://vocab.getty.edu/aat/300179382"
"magicians (illusionists)","300264526","magicians (illusionists)","AAT Getty","http://vocab.getty.edu/aat/300025645","<people in the performing arts>","http://vocab.getty.edu/aat/300264526"
"molders","300025305","molders","AAT Getty","http://vocab.getty.edu/aat/300025254","<people in crafts and trades by activity>","http://vocab.getty.edu/aat/300025305"
"moulders (people)","300025305","moulders (people)","AAT Getty","http://vocab.getty.edu/aat/300025254","<people in crafts and trades by activity>","http://vocab.getty.edu/aat/300025305"
"leatherworkers","300025288","leatherworkers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300025288"
"legislators","300025466","legislators","AAT Getty","http://vocab.getty.edu/aat/300025426","<people in government and administration>","http://vocab.getty.edu/aat/300025466"
"tribunes (public officers)","300249814","tribunes (public officers)","AAT Getty","http://vocab.getty.edu/aat/300025457","public officers","http://vocab.getty.edu/aat/300249814"
